regime,start_date,end_date,strategy_mode,sma_bars,entry_threshold_pct,scope,symbol,total_return_pct,max_drawdown_pct,win_rate,avg_winning_trade,avg_losing_trade,total_trades
Mar2026,2026-03-01,2026-04-04,sma,20,0.005,symbol,NVDA,0.9400935166738826,1.5003585701489088,40.0,17.18280858461449,-7.973377883543429,29
Early2026,2026-01-01,2026-02-28,sma,100,0.005,portfolio,COMBINED,-0.08576636611189314,0.8776629445349682,33.33333333333333,19.568421164973547,-10.260690394219656,54
Early2026,2026-01-01,2026-02-28,sma,100,0.005,symbol,AAPL,-0.10736502262642261,1.1152134420077573,25.0,26.011304407974848,-9.068083034607994,24
Early2026,2026-01-01,2026-02-28,sma,100,0.005,symbol,MSFT,-0.7978111915976842,0.7978111915976842,20.0,16.89360110864259,-10.871826873807914,10
Early2026,2026-01-01,2026-02-28,sma,100,0.005,symbol,NVDA,0.6478771158883455,1.448638015937354,50.0,16.23765523043896,-11.918474457850035,20
Early2026,2026-01-01,2026-02-28,sma,20,0.0,portfolio,COMBINED,-0.09358137882940355,1.050701790879928,28.888888888888886,10.542581899085764,-4.356034348714041,360
Early2026,2026-01-01,2026-02-28,sma,20,0.0,symbol,AAPL,0.8141921981570885,1.45139951463605,33.89830508474576,7.886134749479216,-3.348280898743957,118
Early2026,2026-01-01,2026-02-28,sma,20,0.0,symbol,MSFT,0.23083679296045373,1.8209539121760363,26.31578947368421,14.157183330089328,-4.8729330996664935,114
Early2026,2026-01-01,2026-02-28,sma,20,0.0,symbol,NVDA,-1.3257731276056164,2.233619849685224,26.5625,10.478459635972678,-4.730345774433831,128
Early2026,2026-01-01,2026-02-28,sma,100,0.0005,portfolio,COMBINED,-0.09681861548684538,1.461818122348377,17.24137931034483,22.746953494518497,-4.940654093622337,116
Early2026,2026-01-01,2026-02-28,sma,100,0.0005,symbol,AAPL,0.11646133472157542,1.4717604458052347,12.0,31.862241095550775,-4.168394490724257,50
Early2026,2026-01-01,2026-02-28,sma,100,0.0005,symbol,MSFT,-0.7159907746262706,1.2044860128612662,11.11111111111111,16.6687619083389,-3.575242685680388,36
Early2026,2026-01-01,2026-02-28,sma,100,0.0005,symbol,NVDA,0.3090735934440636,2.2496067025287765,33.33333333333333,19.709057568370962,-8.824283472705229,30
Early2026,2026-01-01,2026-02-28,sma,100,0.0,portfolio,COMBINED,-0.11080060208760187,1.4403448495591509,16.666666666666664,20.964561300715,-4.394367900302245,132
Early2026,2026-01-01,2026-02-28,sma,100,0.0,symbol,AAPL,0.11383471962254134,1.383636325114653,10.714285714285714,31.862241095550775,-3.6716893053027087,56
Early2026,2026-01-01,2026-02-28,sma,100,0.0,symbol,MSFT,-0.8303845202036882,1.2691844904239313,13.043478260869565,12.159387726452621,-3.207882359307355,46
Early2026,2026-01-01,2026-02-28,sma,100,0.0,symbol,NVDA,0.3841479943183822,2.174532301654458,33.33333333333333,19.709057568370962,-8.574035469790855,30
Mar2026,2026-03-01,2026-04-04,sma,10,0.005,portfolio,COMBINED,-0.13702373525693476,0.9968003053518826,38.46153846153847,7.815917047741607,-5.3131473275164645,104
Mar2026,2026-03-01,2026-04-04,sma,10,0.005,symbol,AAPL,-1.1832610468580833,1.5377139063826735,25.0,4.594049532493188,-4.818186085436949,32
Mar2026,2026-03-01,2026-04-04,sma,10,0.005,symbol,MSFT,-0.3644416271643649,1.4140065471476324,37.5,6.362801935227171,-5.032486585017549,32
Mar2026,2026-03-01,2026-04-04,sma,10,0.005,symbol,NVDA,1.136631468251644,0.8332453075594234,50.0,9.976533121349636,-6.187761560510795,40
Early2026,2026-01-01,2026-02-28,sma,100,0.0025,portfolio,COMBINED,-0.1522772487252587,1.3127329209339769,24.324324324324326,22.12613784229994,-7.655820194758177,74
Early2026,2026-01-01,2026-02-28,sma,100,0.0025,symbol,AAPL,0.24888647393739574,1.5065062232296986,18.75,31.53094088851455,-6.638200528279266,32
Early2026,2026-01-01,2026-02-28,sma,100,0.0025,symbol,MSFT,-0.5270537395081691,0.7999255506307735,12.5,23.35414176296102,-5.846085678081036,16
Early2026,2026-01-01,2026-02-28,sma,100,0.0025,symbol,NVDA,-0.1786644806050981,2.2751796124307977,38.46153846153847,16.23765523043896,-10.892969854878903,26
Late2025,2025-10-04,2025-12-31,sma,100,0.001,portfolio,COMBINED,-0.17072493984109316,1.9557235532442152,17.77777777777778,20.835724256649986,-4.735730839060986,180
Late2025,2025-10-04,2025-12-31,sma,100,0.001,symbol,AAPL,-0.6576121855514475,1.969556094707035,13.157894736842104,20.67216323019973,-3.79640067684991,76
Late2025,2025-10-04,2025-12-31,sma,100,0.001,symbol,MSFT,-0.028836102209293127,0.5249274704326308,31.57894736842105,7.17408524061095,-3.3850549885110115,38
Late2025,2025-10-04,2025-12-31,sma,100,0.001,symbol,NVDA,0.1742734682373657,3.3998824559226257,15.151515151515152,37.39325210234707,-6.469898032279389,66
Late2025,2025-10-04,2025-12-31,sma,100,0.0,portfolio,COMBINED,-0.2168297091621025,2.1230775509500166,15.315315315315313,21.229391220338407,-4.0700278900209295,222
Late2025,2025-10-04,2025-12-31,sma,100,0.0,symbol,AAPL,-0.47186934560291777,2.0990035461504513,10.0,23.15252537035147,-2.9220356675226973,100
Late2025,2025-10-04,2025-12-31,sma,100,0.0,symbol,MSFT,-0.5666020626659656,1.0950201769397374,25.0,8.531513964861276,-3.8931010672980557,48
Late2025,2025-10-04,2025-12-31,sma,100,0.0,symbol,NVDA,0.38798228078239844,3.248132957310586,16.216216216216218,32.324656684138,-5.83919991651874,74
Early2026,2026-01-01,2026-02-28,sma,20,0.0005,portfolio,COMBINED,-0.27116267382269144,1.1864767419910038,31.372549019607842,11.032947532570015,-5.301883323291685,306
Early2026,2026-01-01,2026-02-28,sma,20,0.0005,symbol,AAPL,0.8844795457164991,1.2721003499631296,36.734693877551024,8.72693544225685,-4.116199562475468,98
Early2026,2026-01-01,2026-02-28,sma,20,0.0005,symbol,MSFT,0.08040043803232037,1.6517289305866651,29.166666666666668,14.25557437969704,-5.791118432784794,96
Early2026,2026-01-01,2026-02-28,sma,20,0.0005,symbol,NVDA,-1.7783680052167572,2.453760497552362,28.57142857142857,10.807412642936175,-5.804938394855107,112
Late2025,2025-10-04,2025-12-31,sma,100,0.0005,portfolio,COMBINED,-0.2754000946139422,2.1011887779651337,15.686274509803921,21.788239755576225,-4.373858669193226,204
Late2025,2025-10-04,2025-12-31,sma,100,0.0005,symbol,AAPL,-0.8485042333487627,2.3508012642345015,11.11111111111111,22.336048399264747,-3.499092911032085,90
Late2025,2025-10-04,2025-12-31,sma,100,0.0005,symbol,MSFT,0.05920923935177143,0.45554075397884386,30.0,7.863285898557211,-3.229005291401198,40
Late2025,2025-10-04,2025-12-31,sma,100,0.0005,symbol,NVDA,-0.036905289844985416,3.5244955869538326,13.513513513513514,37.95037574031052,-5.968189219678667,74
Mar2026,2026-03-01,2026-04-04,sma,100,0.001,portfolio,COMBINED,-0.33725400850835285,1.0025787639938608,26.666666666666668,9.510156789356987,-4.991211598440504,57
Mar2026,2026-03-01,2026-04-04,sma,100,0.001,symbol,AAPL,-0.3802945835415676,0.8712188398072113,28.57142857142857,9.05682242881428,-6.158026195136287,13
Mar2026,2026-03-01,2026-04-04,sma,100,0.001,symbol,MSFT,0.38183539775052844,0.3488060096249152,60.0,8.125198153194146,-5.8238739339491765,9
Mar2026,2026-03-01,2026-04-04,sma,100,0.001,symbol,NVDA,-1.0133028397339647,1.966676650098402,16.666666666666664,11.197338332548304,-4.4912517548074185,35
Late2025,2025-10-04,2025-12-31,sma,100,0.005,portfolio,COMBINED,-0.347643202986892,2.1928772636866936,24.444444444444443,26.20230060796338,-9.499694911361406,90
