regime,start_date,end_date,strategy_mode,entry_threshold_pct,sma_bars,total_return_pct,max_drawdown_pct,total_trades,total_buy_candidates,skipped_trades,competing_timestamps,max_concurrent_positions,win_rate,avg_winning_trade,avg_losing_trade,realized_pnl,final_equity,final_cash,starting_capital,position_size
Mar2026,2026-03-01,2026-04-04,sma,0.0025,10,-0.9655662082569506,1.9495095434809078,193,98,0,8,3,28.57142857142857,8.097548542833886,-4.618399714643468,-96.55662082569384,9903.443379174305,9903.443379174305,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.005,50,-1.0216652717997567,1.4416200853459977,61,32,0,1,3,25.0,9.181908756407593,-7.317574884634819,-102.16652717997495,9897.833472820024,9897.833472820024,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0,50,-1.0488831497090723,2.762577683946026,368,184,0,12,3,16.304347826086957,18.17844274569585,-4.222348034686969,-104.8883149709181,9895.111685029093,9895.111685029093,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.001,50,-1.0686896777460788,1.6242333883048923,111,57,0,4,3,22.807017543859647,8.081570759321771,-4.816576991949798,-106.86896777460818,9893.131032225392,9893.131032225392,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0005,50,-1.0981526968178512,1.6536964073766651,121,62,0,3,3,22.58064516129032,7.624032935992412,-4.511494391368221,-109.81526968178089,9890.184730318215,9890.184730318215,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0,20,-1.1084781824739185,2.3325462765218026,253,128,0,13,3,21.875,9.04955797504602,-3.6423544154867886,-110.84781824739039,9889.152181752608,9889.152181752608,10000.0,1000.0
Mar2026,2026-03-01,2026-04-04,sma,0.0,50,-1.1194976258949827,1.7303031620159528,149,76,0,4,3,19.736842105263158,8.009185031616617,-3.8047137387498626,-111.94976258949242,9888.050237410502,9888.050237410502,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.0025,50,-1.1434762798906377,2.715040745334067,194,97,0,3,3,21.649484536082475,22.669119939211033,-7.768409825164486,-114.34762798906931,9885.652372010936,9885.652372010936,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.001,20,-1.2634951522615119,2.8135449748094494,456,228,0,19,3,28.07017543859649,11.134213443808259,-5.11548277823096,-126.34951522614914,9873.650484773849,9873.650484773849,10000.0,1000.0
Late2025,2025-10-04,2025-12-31,sma,0.005,10,-1.2656833191511758,2.327627999706268,252,126,0,6,3,34.92063492063492,11.349383225643315,-7.633429193212517,-126.56833191512023,9873.431668084882,9873.431668084882,10000.0,1000.0
